Авторы;Идентификатор автора(ов);Название;Год
Barash L.Y., Weigel M., Borovský M., Janke W., Shchur L.N.;"12765472700;7006594217;36450169400;7102841112;56004933800;";GPU accelerated population annealing algorithm;2017
Feigin B., Jimbo M., Miwa T., Mukhin E.;"7006562936;57193339345;7201645478;7005230792;";Finite Type Modules and Bethe Ansatz for Quantum Toroidal gl1;2017
Vukovic N., Shtyrov Y.;"55960232500;6701617874;";Cortical networks for reference-frame processing are shared by language and spatial navigation systems;2017
Yaple Z., Arsalidou M.;"57190490937;26665961200;";Negative priming: a meta-analysis of fMRI studies;2017
Elo T., Lähteenmäki P., Golubev D., Savin A., Arutyunov K., Hakonen P.;"56885360800;55184825900;35566604900;7103295906;6603572972;7005533588;";Thermal Relaxation in Titanium Nanowires: Signatures of Inelastic Electron-Boundary Scattering in Heat Transfer;2017
Blokh A., Oversteegen L., Timorin V.;"7005428933;6506515353;6507568071;";Non-degenerate locally connected models for plane continua and julia sets;2017
Gaydukov R.K.;"56034996400;";Double-deck structure of the boundary layer in the problem of a compressible flow along a plate with small irregularities on the surface;2017
Pitkänen M., Kallioniemi E., Julkunen P., Nazarova M., Nieminen J.O., Ilmoniemi R.J.;"56707057100;55755992500;13612636200;57188643355;35198696600;7005857614;";Minimum-Norm Estimation of Motor Representations in Navigated TMS Mappings;2017
Zotov L., Sidorenkov N.S., Bizouard C., Shum C.K., Shen W.;"6603169173;6601954497;6603368769;57203012951;36778228100;";Multichannel singular spectrum analysis of the axial atmospheric angular momentum;2017
Bienvenu L., Hoyrup M., Shen A.;"23395637800;23980050200;7101987347;";Layerwise Computability and Image Randomness;2017
Bauwens B., Shen A., Takahashi H.;"26427988700;7101987347;56326794100;";Conditional Probabilities and van Lambalgen’s Theorem Revisited;2017
Belomestny D., Mai H., Schoenmakers J.;"15069577900;56425456200;34975782200;";Generalized Post–Widder inversion formula with application to statistics;2017
Vereshchagin N.;"7005187259;";Short lists with short programs from programs of functions and strings;2017
Teplova T., Mikova E., Nazarov N.;"56030567300;56483286200;57193924763;";Stop losses momentum strategy: From profit maximization to risk control under White's Bootstrap Reality Check;2017
Golov N., Rönnbäck L.;"57028297300;36626227700;";Big Data normalization for massively parallel processing databases;2017
Moulin H.;"7004297002;";Consistent bilateral assignment;2017
Dagaev N., Shtyrov Y., Myachykov A.;"56049676100;6701617874;10041512100;";The role of executive control in the activation of manual affordances;2017
Yudson V., Makarov A.;"35577221400;57213743161;";Integrable models of quantum optics;2017
Rumyantsev M.Y., Sizyakin A.V.;"57192820991;16426585300;";Research of rotors with permanent magnets and welded combined bandages for high-speed electrical machines;2017
Remizov S.V., Zhukov A.A., Shapiro D.S., Pogosov W.V., Lozovik Y.E.;"10639849600;56727514200;24759719500;6602104307;16421007700;";Parametrically driven hybrid qubit-photon systems: Dissipation-induced quantum entanglement and photon production from vacuum;2017
Dumont G., Ermentrout G.B., Gutkin B.;"55251515200;7003797729;55884887100;";Macroscopic phase-resetting curves for spiking neural networks;2017
Grebenkov D.S., Beliaev D.;"8343852700;7005148399;";How anisotropy beats fractality in two-dimensional on-lattice diffusion-limited-aggregation growth;2017
Makarov I., Aliev V., Gerasimova O., Polyakov P.;"57203060623;57197847593;57190962423;55409073700;";Depth Map Interpolation Using Perceptual Loss;2017
Belov A.V., Ulaeva E.S.;"57215517230;57200189460;";Mathematical model of incident management in the composite applications;2017
Khromov I.A., Dvornikov A.A.;"57192576655;57192593637;";The human body as the element of the computer network;2017
Dobrov G.A.;"57192592484;";Service management e-learning model;2017
Grachev N.N., Safonov S.N.;"26534239200;57200193789;";Use of electromagnetic radiation for assessment of quality assembly of elements and nodes of electronic means;2017
Semin V.G., Khakimullin E.R., Kabanov A.S., Los A.B.;"57194406836;57192589907;57192591854;57200189875;";Problems of information security technology the 'Internet of Things';2017
Grachev N.N., Safonov S.N.;"26534239200;57200193789;";Analysis of the electromagnetic field of the source of contact interference in a vehicle;2017
Kofanov Y.N., Sotnikova S.Y.;"6507341695;56703233000;";Virtual simulation method of interrelated physical processes in on-board electronic means;2017
Semin V.G., Kabanov A.S., Los A.B.;"57194406836;57192591854;57200189875;";A statistical approach to the assessment of security threats information system;2017
Ivanov A.I., Kulagin V.P., Kaperko A.F., Kuznetsov Y.M., Obolyaeva N.M., Chulkova G.M., Yurin A.N., Shustrov A.V.;"57189212610;56912007700;6507584555;57191619222;57193347249;6701631046;15756657400;57195321592;";Instrumental means for the control and analysis of gas mixtures based on the use of artificial neural networks;2017
Kofanov Y.N., Sotnikova S.Y.;"6507341695;56703233000;";Improving the accuracy of virtual simulation and ensuring vibration reliability of on-board electronic equipment;2017
Semin V.G., Shmakova E.G., Los A.B.;"57194406836;57195988981;57200189875;";The information security risk management;2017
Gudkov Y.I., Azarov V.N., Tuv A.L.;"57200189724;57192588492;55505011400;";Active infrared sensor for monitoring protected areas;2017
Korolev D.A., Gorokhova-Alekseeva A.V., Vitshas A.A., Pleshkova A.O.;"57192576710;57200190719;57200191476;57200194487;";Approach to development of assignments with graphical solutions for MOOC course;2017
Fomin S.S.;"57200192649;";Technology and practice of ICT disciplines maintenance;2017
Kofanov Y.N., Obushcharova M.K., Volodina K.V.;"6507341695;57200195745;57200191361;";Development and implementation of integrated quality management systems in Russia;2017
Nekrasov H.A.;"57200192349;";Development of the search robot for information security in web content;2017
Voronenko A.A., Vyalyi M.N.;"6602733771;23092601000;";Lower estimate for the cardinality of the domain of universal functions for the class of linear Boolean functions;2017
Kochergin V.V., Mikhailovich A.V.;"7005939167;55180372700;";The minimum number of negations in circuits for systems of multi-valued functions;2017
Taletskiy D.S., Malyshev D.S.;"57196087174;25522390800;";On the number of maximal independent sets in complete q-Ary trees;2017
Grebenkov D.S., Lanoiselée Y., Majumdar S.N.;"8343852700;57189455473;7402094104;";Mean perimeter and mean area of the convex hull over planar random walks;2017
Demenev A.A., Grishina Ya.V., Larionov A.V., Gippius N.A., Schneider C., Höfling S., Kulakovskii V.D.;"9742713100;57000341300;57091991300;7004261711;16426654300;22035228900;7006566979;";Polarization instability and the nonlinear internal Josephson effect in cavity polariton condensates generated in an excited state in GaAs microcavities of lowered symmetry;2017
Makarov I., Aliev V., Gerasimova O.;"57203060623;57197847593;57190962423;";Semi-dense depth interpolation using deep convolutional neural networks;2017
Feigin B., Jimbo M., Mukhin E.;"7006562936;57193339345;7005230792;";Integrals of motion from quantum toroidal algebras;2017
Grigoryev D., van de Vijver F.;"57191706675;7003643938;";Acculturation profiles of Russian-speaking immigrants in Belgium and their socio-economic adaptation;2017
Zykov S.V., Isheyemi O.;"36146486900;57200389096;";Architecting open education: The integrated metadata warehouse;2017
Politsyna E.V., Politsyn S.A., Shilov V.V.;"57200393457;57200394014;57200388029;";Task dispatching system for the complex of natural language processing tools;2017
Barash L.Y., Fadeeva M.A., Shchur L.N.;"12765472700;57196399074;56004933800;";Control of accuracy in the Wang-Landau algorithm;2017
Pugach N.G., Safonchik M., Champel T., Zhitomirsky M.E., Lähderanta E., Eschrig M., Lacroix C.;"8668182100;56030626300;6602701276;7004275599;55409279100;6602124903;55447052200;";Superconducting spin valves controlled by spiral re-orientation in B20-family magnets;2017
Polishchuk A.;"7004476955;";Moduli of curves as moduli of A∞-structures;2017
Ermolenko B.V., Ermolenko G.V., Fetisova Y.A., Proskuryakova L.N.;"6508249889;54683774700;57193684351;55252644100;";Wind and solar PV technical potentials: Measurement methodology and assessments for Russia;2017
Kagan M.Y., Val'kov V.V., Aksenov S.V.;"7102277369;7003275968;35777356400;";Coulomb interactions-induced perfect spin-filtering effect in a quadruple quantum-dot cell;2017
Sanina A., Balashov A., Kaysarova V.;"36469087400;57191285363;57191750438;";Public Administration Research in Contemporary Russia: An Analysis of Journal Publications, 2010–2014;2017
Gherardi M., Calabrese L., Tamm M., Cosentino Lagomarsino M.;"34871961900;57196025529;7006098030;8143007300;";Model of chromosomal loci dynamics in bacteria as fractional diffusion with intermittent transport;2017
Lozinskaia A., Merikas A., Merika A., Penikas H.;"56902656800;25227819000;16310322100;55471176500;";Determinants of the probability of default: the case of the internationally listed shipping corporations;2017
Maloshonok N., Terentev E.;"56593096400;57188866467;";The mismatch between student educational expectations and realities: prevalence, causes, and consequences;2017
Gurkov I., Kokorina A., Saidov Z.;"6603320551;57194440542;56436556800;";The cul-de-sac of foreign industrial investments to Russia;2017
Jakobson L.;"41461158700;";Russian experts: missing actors of the budget process;2017
Abramovich S., Nikitin Y.Y.;"20733761400;57205496967;";Teaching Classic Probability Problems with Modern Digital Tools;2017
Nikolenko S.I., Kogan K., Anta A.F.;"13608710100;8219662100;23110003000;";Network simplification preserving bandwidth and routing capabilities;2017
Yormirzoev M., Teuber R.;"57189365483;22235487800;";Consumers’ Response to Genetically Modified Ingredients in Processed Food in an Emerging Economy;2017
Baysha O.;"36986930800;";In the name of national security: articulating ethno-political struggles as terrorism;2017
Joenniemi P., Sergunin A.;"6507860742;36770187400;";City-Twinning in IR Theory: Escaping the Confines of the Ordinary;2017
Davydow A., Chuprikov P., Nikolenko S.I., Kogan K.;"40660951100;57056336500;13608710100;8219662100;";Throughput optimization with latency constraints;2017
Sergunin A., Joenniemi P.;"36770187400;6507860742;";Does the EU Strategy for the Baltic Sea Region (EUSBSR) mobilize the municipal level? City twinning in Northern Europe;2017
Turovsky R., Gaivoronsky Y.;"55588390100;57193338659;";Russia’s regions as winners and losers: political motives and outcomes in the distribution of federal government transfers*;2017
Halligan Avery E.M., Guiffrida D.A., Lynch M.F.;"57191926471;10045330500;7401593318;";Development and Validation of the Constructivist Supervisor Scale;2017
Kiseleva V., Evstigneeva L.;"57195604442;57203418486;";Transformation of Russian potential in the field of innovations: Lessons from China [УСКОРЕННОЕ ИННОВАЦИОННОЕ РАЗВИТИЕ УРОКИ КИТАЯ ДЛЯ РОССИИ];2017
Styrin E., Dmitrieva N.;"53865533400;56158034600;";Evaluating Public Organizations Using Open Data: An Assessment Tool and Ecosystems Approach;2017
Semenov P.V.;"7005447027;";On the equivalence of certain statements on fixed points of contractions;2017
Feigin B.L., Sopin V.V.;"7006562936;56942354900;";Combinatorics of a statistical model constructed from the 2 × n square lattice;2017
Popel S.I., Golub’ A.P., Zakharov A.V., Zelenyi L.M.;"7004783855;36902171000;57190347555;7004885025;";Dusty plasma near the surface of phobos;2017
Umnov A.V., Krylov A.S.;"55523003400;7202280261;";Sparse approach to image ringing detection and suppression;2017
Safandeev V.V., Kolacheva A.A., Ivanov D.E., Ugryumov M.V.;"57198887594;55500393600;57198889110;55684228700;";Detection of the latent functional insufficiency of dopaminergic neurons in the nigrostriatal system in a chronic model of Parkinson’s disease;2017
Murtazina A.R., Nikishina Y.O., Bondarenko N.S., Sapronova A.Y., Volina E.V., Ugryumov M.V.;"57188881130;57188870278;56622467900;7004933785;7003385752;55684228700;";Gene expression and the contents of noradrenaline synthesis enzymes in the rat brain during the critical period of morphogenesis;2017
Karasev M., Novikova E., Vybornyi E.;"7004372754;7102446642;56050841000;";Bi-states and 2-level systems in rectangular Penning traps;2017
Maslov V.P.;"7202893841;";A model of classical thermodynamics and mesoscopic physics based on the notion of hidden parameter, Earth gravitation, and quasiclassical asymptotics. II;2017
Kalmynin A.B.;"57189372991;";Conference to the Memory of Anatoly Alekseevitch Karatsuba on Number Theory and Applications;2017
Vassiliev V.A.;"7006638278;";Multiplicities of bifurcation sets of pham singularities;2017
Lando S., Zhukov V.;"6602320062;57195635796;";Delta-matroids and vassiliev invariants;2017
Aganagic M., Okounkov A.;"57204411053;6701591697;";Quasimap counts and bethe eigenfunctions;2017
Shklyar D.R., Balikhin M.A.;"6602535385;6701778840;";Whistler Mode Waves Below Lower Hybrid Resonance Frequency: Generation and Spectral Features;2017
Korishchenko K., Pilnik N.;"57197755270;56010257000;";On the limits of the possibility of inflation targeting;2017
Zhemkov M., Kuznetsova O.;"57197756419;55430237300;";Measuring inflation expectations in Russia using stock market data;2017
Galimov D., Gnidchenko A., Sabelnikova E., Salnikov V.;"57191115847;55935059300;56610174800;55934796300;";Inter-industry effects from Russian trade integration into the EAEU;2017
Filatova I., Davidson A.;"55340678200;57194885602;";We, the South African bolsheviks: The Russian revolution and South Africa;2017
Akhmet'Ev P.M., Candelaresi S., Smirnov A.Yu.;"56197636300;34876195500;57214944997;";Calculations for the practical applications of quadratic helicity in MHD;2017
Goryainova E.R., Botvinkin E.A.;"6506405999;57196151487;";Experimental and analytic comparison of the accuracy of different estimates of parameters in a linear regression model;2017
Sergeev A.N., Veselov A.P.;"55424206600;16424229900;";Orbits and Invariants of Super Weyl Groupoid;2017
Colin V., Ferrand E., Pushkar P.;"6603918095;6603871975;57213383956;";Positive Isotopies of Legendrian Submanifolds and Applications;2017
Grigorenko E.E., Shuvalov S.D., Malova H.V., Dubinin E., Popov V.Y., Zelenyi L.M., Espley J., McFadden J.P.;"7005318576;56423506500;6603449845;7005062015;7404533606;7004885025;14065689100;35453448800;";Imprints of Quasi-Adiabatic Ion Dynamics on the Current Sheet Structures Observed in the Martian Magnetotail by MAVEN;2017
Alexandrov Y.I., Krylov A.K., Arutyunova K.R.;"7005342266;53874946600;56028915100;";Activity during learning and the nonlinear differentiation of experience;2017
Lightfoot A.;"57190497169;";Detecting Whitney disks for link maps in the four-sphere;2017
Pereskokov A.V.;"6602950211;";Asymptotics of the Spectrum of a Two-dimensional Hartree Type Operator Near Upper Boundaries of Spectral Clusters. Asymptotic Solutions Located Near a Circle;2017
Pereskokov A.V.;"6602950211;";Semiclassical Asymptotics of Solutions to Hartree Type Equations Concentrated on Segments;2017
Price-Blackshear M.A., Kamble S.V., Mudhol V., Sheldon K.M., Ann Bettencourt B.;"57195734245;29467495900;57195736419;7006407803;6507692936;";Mindfulness Practices Moderate the Association Between Intergroup Anxiety and Outgroup Attitudes;2017
Solovev A., Solov’ev V.;"57195723182;15037805000;";3D molecular fragment descriptors for structure–property modeling: predicting the free energies for the complexation between antipodal guests and β-cyclodextrins;2017
Tomas E., Van De Vijver R., Demuth K., Petocz P.;"56526562000;7801620251;55918708300;6603910170;";Acquisition of nominal morphophonological alternations in Russian;2017
Mau V., Leonard C.S.;"6602498235;23667952000;";Economic crises in post-communist Russia;2017
Dobrushina N.;"54972405500;";Contact-induced usages of volitional moods in East Caucasian languages;2017
Krivonos R., Tkachenko A., Burenin R., Filippova E., Lapshov I., Mereminskiy I., Molkov S., Pavlinsky M., Sazonov S., Gubarev M., Kolodziejczak J., O’Dell S.L., Swartz D., Zavlin V.E., Ramsey B.D.;"15832545500;55436671900;6603389696;9243752100;6602756337;55557522900;55916080000;6701817467;7007058230;6701601963;6603869504;6603759140;7102347063;7004922362;7102692828;";Calibration of the ART-XC mirror modules at MSFC;2017
Iscan Z., Rakesh G., Rossano S., Yang J., Zhang M., Miller J., Sullivan G.M., Sharma P., McClure M., Oquendo M.A., Mann J.J., Parsey R.V., DeLorenzo C.;"15757480800;36554592600;57195470093;56915068000;57194566472;57203033955;7202322251;35119556800;57195476525;7004033396;57207226769;6701501612;15042086700;";A positron emission tomography study of the serotonergic system in relation to anxiety in depression;2017
Yurchenko A., Golovteev A., Kopachev D., Dragoy O.;"55521738000;14025497800;26040805400;36522630700;";Comprehension and production of nouns and verbs in temporal lobe epilepsy;2017
William A.G., Kate M.P., Norrving B., Mensah G.A., Davis S., Roth G.A., Thrift A.G., Kengne A.P., Kissela B.M., Yu C., Kim D., Rojas-Rueda D., Tirschwell D.L., Abd-Allah F., Gankpé F., Deveber G., Hankey G.J., Jonas J.B., Sheth K.N., Dokova K., Mehndiratta M.M., Geleijnse J.M., Giroud M., Bejot Y., Sacco R., Sahathevan R., Hamadeh R.R., Gillum R., Westerman R., Akinyemi R.O., Barker-Collo S., Truelsen T., Caso V., Rajagopalan V., Venketasubramanian N., Vlassovi V.V., Pandian J.D., Feigin V.L.;"57209350798;13204442900;57220437650;57196028147;55838511107;55074747400;57210095150;7801322838;6603414786;57208140344;57223019104;57203642966;7003788101;36503428900;57203682971;57204345472;7102816661;57215380211;8415971600;57201523771;57202557864;57202556387;7203027541;14038743100;7102230208;35332739200;57202769526;7103181331;57218361023;25633566800;57193065514;57202824565;55401514700;57202839237;57214976930;57204785405;57204787123;57203677957;";Strategies to Improve Stroke Care Services in Low- and Middle-Income Countries: A Systematic Review;2017
Hutsalyuk A., Liashyk A., Pakuliak S.Z., Ragoucy E., Slavnov N.A.;"57191041137;57015271200;6604021757;7003533607;6603896872;";Scalar products of Bethe vectors in the models with gl(m|n) symmetry;2017
Tamir M., Schwartz S.H., Oishi S., Kim M.Y.;"6603911191;7403606009;7102263371;56393382200;";The secret to happiness: Feeling good or feeling right?;2017
Pokryshevskaya E.B., Antipov E.A.;"57216425890;57205771990;";Profiling satisfied and dissatisfied hotel visitors using publicly available data from a booking platform;2017
Frolova N.L., Belyakova P.A., Grigoriev V.Y., Sazonov A.A., Zotov L.V., Jarsjö J.;"15730547400;55905241200;57194491825;57062083600;6603169173;6603550210;";Runoff fluctuations in the Selenga River Basin;2017
Dyachenko E.L.;"35236625800;";Internal migration of scientists in Russia and the USA: the case of physicists;2017
Oleinik A., Kirdina-Chandler S., Popova I., Shatalova T.;"15834937900;6504010565;35849751000;55954322700;";On academic reading: citation patterns and beyond;2017
Katchanov Y.L., Markova Y.V.;"55496794100;15846453500;";The “space of physics journals”: topological structure and the Journal Impact Factor;2017
Panov V.;"57196928022;";Limit theorems for sums of random variables with mixture distribution;2017
Herrojo Ruiz M., Maess B., Altenmüller E., Curio G., Nikulin V.V.;"26429899400;6602457463;7004079354;7006032218;7007084310;";Cingulate and cerebellar beta oscillations are engaged in the acquisition of auditory-motor sequences;2017
Feigin E., Makedonskyi I.;"6701558236;56913381300;";Generalized Weyl modules, alcove paths and Macdonald polynomials;2017
Volynsky P., Efremov R., Mikhalev I., Dobrochaeva K., Tuzikov A., Korchagina E., Obukhova P., Rapoport E., Bovin N.;"6602211610;8308626600;6701831767;57192957881;7004948294;7003846428;22958543500;7007145195;7103341757;";Why human anti-Galα1–4Galβ1–4Glc natural antibodies do not recognize the trisaccharide on erythrocyte membrane? Molecular dynamics and immunochemical investigation;2017
Braverman A., Finkelberg M.;"7005928142;6602282553;";Twisted zastava and q -Whittaker functions:;2017
Krasilnikov A., Smirnova A.;"57202087241;57220528705;";Online social adaptation of first-year students and their academic performance;2017
Killip R., Molchanov S., Safronov O.;"57204411149;7004217928;6603631661;";A relation between the positive and negative spectra of elliptic operators;2017
Kuleshov A., Bernstein A.;"25621485600;55926029700;";Nonlinear multi-output regression on unknown input manifold;2017
Khoroshkin A., Willwacher T., Živković M.;"16042672000;6506932030;56481244200;";Differentials on graph complexes II: hairy graphs;2017
Zaytsev A., Burnaev E.;"57191222878;15762040400;";Large scale variable fidelity surrogate modeling;2017
Burnaev E., Panin I., Sudret B.;"15762040400;57221404889;6603259697;";Efficient design of experiments for sensitivity analysis based on polynomial chaos expansions;2017
Balzin E.;"56491234800;";Derived Sections of Grothendieck Fibrations and the Problems of Homotopical Algebra;2017
Bogachev V.I., Shaposhnikov S.V.;"7005751293;36953589600;";Integrability and continuity of solutions to double divergence form equations;2017
Krupkina A., Ponomarenko A.;"56912313600;55512605100;";Deposit dollarization in emerging markets: modelling the hysteresis effect;2017
Firat R.B.;"55440946000;";Discrimination and Well-Being: The Moderating Effects of Agentic Value Orientations;2017
Meissner D., Polt W., Vonortas N.S.;"55337583500;24336000400;6602487131;";Towards a broad understanding of innovation and its importance for innovation policy;2017
Meissner D., Shmatko N.;"55337583500;6507223957;";“Keep open”: the potential of gatekeepers for the aligning universities to the new Knowledge Triangle;2017
Sarpong D., AbdRazak A., Alexander E., Meissner D.;"37066444200;57003497600;36019935300;55337583500;";Organizing practices of university, industry and government that facilitate (or impede) the transition to a hybrid triple helix model of innovation;2017
Kalenkova A.A., van der Aalst W.M.P., Lomazova I.A., Rubin V.A.;"36600541900;7007153024;6701413146;14016543900;";Process mining using BPMN: relating event logs and process models;2017
Baek K.;"55521511400;";The Diffusion of Voluntary Environmental Programs: The Case of ISO 14001 in Korea, 1996–2011;2017
Matveenko V., Korolev A., Zhdanova M.;"7004178973;57191891318;57220335262;";Game equilibria and unification dynamics in networks with heterogeneous agents;2017
Belemuk A.M., Chtchelkatchev N.M., Mikheyenkov A.V., Kugel K.I.;"6507604254;6603623631;6508151489;7003929702;";Magnetic phase diagram and quantum phase transitions in a two-species boson model;2017
Tyutnev A.P., Weiss D.S., Saenko V.S., Pozhidaev E.D.;"7005402871;7401453609;7103137190;7006116169;";About mobility thickness dependence in molecularly doped polymers;2017
Gorodetskaia M., Khruslova D.;"57196038306;57196031700;";Social network analyzer on the example of Twitter;2017
Novikov K.V., Tatunov S.Yu.;"57196034341;57196029977;";Efficiency of cross-cutting design technology application;2017
Kulmala M., Rasell M., Chernova Z.;"56446380200;24470234800;57192919533;";Overhauling Russia's child welfare system: Institutional and ideational factors behind the paradigm shift;2017
Biryukova S., Sinyavskaya O.;"57127197900;35362676900;";Children out of parental care in Russia: What we can learn from the statistics;2017
Lezhnina Y.;"35435138400;";Middle-income families in Russia: Comparing domestic support and exposure to risk;2017
Shpektor A., Nazarova M., Feurra M.;"56950845700;57188643355;15047818300;";Effects of transcranial alternating current stimulation on the primary motor cortex by online combined approach with transcranial magnetic stimulation;2017
Gorsky E., Maziny M., Vazirani M.;"55901577800;55312015600;23010386900;";Rational Dyck paths in the non relatively prime case;2017
Tyutnev A.P., Novikov S.V., Saenko V.S., Pozhidaev E.D.;"7005402871;57202492599;7103137190;7006116169;";Comparative Monte-Carlo simulations of charge carrier transport in amorphous molecular solids as given by three most common models of disorder: The dipolar glass, the Gaussian disorder, and their mix;2017
Kozlov S.;"57196486261;";Big data visualization as an auxiliary tool in designing a distribution network of a company;2017
