Авторы;Идентификатор автора(ов);Название;Год
Brinkhuis J., Protasov V.;"36966147300;7005728944;";A new proof of the Lagrange multiplier rule;2016
Mavletova A., Couper M.P.;"55925164500;7005131557;";Grouping of Items in Mobile Web Questionnaires;2016
Bystrov E.;"55353549300;";Religiosity, nationalism and fertility among Jews in Israel revisited;2016
Egorova E., Lavrentiev A., Chepovskiy A.;"56720964400;57188805991;42661083200;";A Structural Pattern Based Method for Automated Morphological Analysis of Word Forms in a Natural Language;2016
Gurkov I.;"6603320551;";Oriflame CIS: The Successful Evolution of a Regional Subsidiary's Mandate;2016
Il’yn A.S., Sirota V.A., Zybin K.P.;"7007115901;8365286400;7004547377;";Statistical Properties of the T-Exponential of Isotropically Distributed Random Matrices;2016
Lebedeva N., Tatarko A., Berry J.W.;"8719892500;8440401400;7402634538;";Intercultural relations among migrants from Caucasus and Russians in Moscow;2016
Borodin A., Bufetov A., Corwin I.;"7102323879;7801312296;36083953300;";Directed random polymers via nested contour integrals;2016
Gorsky E., Mazin M.;"55901577800;55312015600;";Rational parking functions and LLT polynomials;2016
Obydenkova A., Salahodjaev R.;"23486515000;56507435000;";Intelligence, democracy, and international environmental commitment;2016
Teplova T.V., Rodina V.A.;"56030567300;56594882000;";Does stock exchange consolidation improve market liquidity? A study of stock exchange acquisition in Russia;2016
Myachykov A., Ellis R., Cangelosi A., Fischer M.H.;"10041512100;55923475100;6701387796;7402920854;";Ocular drift along the mental number line;2016
Bogachev V.I., Malofeev I.I.;"7005751293;56118708600;";Surface Measures Generated by Differentiable Measures;2016
Danilov V.G.;"7201827676;";Forward and backward in time Cauchy problems for systems of parabolic-type PDE with a small parameter;2016
Komosko L., Batsyn M., Segundo P.S., Pardalos P.M.;"56568388000;37111907600;34882184900;7005330875;";A fast greedy sequential heuristic for the vertex colouring problem based on bitwise operations;2016
Muravyev A., Talavera O.;"24381928400;23471474000;";Can state language policies distort students' demand for education?;2016
Makasheva N.;"57133045800;";Searching for an ethical basis of political economy: Bulgakov and Tugan-Baranovsky;2016
Lianos I., Fazekas M., Karliuk M.;"23088833500;54415618000;56340076900;";Cross-national diffusion in Europe;2016
Andrey Y., Ruslan S., Yuriy P.;"57189250688;55650079800;6603531328;";Methods and apparatus for microwave thermotherapy based on slow-wave systems;2016
Yelizarov A., Kukharenko A.;"7005491804;24484728700;";Metamaterial-based frequency selective surface with a band gap electronic adjustment;2016
Kormina J.;"55966057700;";The saint and his cat: Localization of religious charisma in contemporary Russian orthodox pilgrimages;2016
Mavletova A., Couper M.P.;"55925164500;7005131557;";Device use in web surveys: The effect of differential incentives;2016
Malyshev D.S.;"25522390800;";A dichotomy for the dominating set problem for classes defined by small forbidden induced subgraphs;2016
Isaev A.P., Kirillov A.N., Tarasov V.O.;"7101845173;7102545350;22995132300;";Bethe subalgebras in affine Birman-Murakami-Wenzl algebras and flat connections for q-KZ equations;2016
F-Jardon C.M., Pagani R.N.;"6506804139;55607567000;";Is collective efficiency in subsistence clusters a growth strategy? The case of the wood industry in Oberá, Argentina;2016
Toepfl F.;"54581713900;";Blogging for the sake of the president: The online diaries of Russian governors;2016
Kozyreva P., Kosolapov M., Popkin B.M.;"6505848584;12779533900;7102106471;";Data resource profile: The Russia Longitudinal Monitoring Survey-Higher School of Economics (RLMS-HSE) Phase II: Monitoring the economic and health situation in Russia, 1994-2013;2016
Avdasheva S., Golovanova S., Korneeva D.;"7801623030;57188661964;57188667401;";Distorting effects of competition authority’s performance measurement: the case of Russia;2016
Gorchinskiy S., Guletskiĭ V.;"23011972100;57203803548;";Symmetric powers in abstract homotopy categories;2016
Brotherston J., Gorogiannis N., Kanovich M., Rowe R.;"6603688854;8338765000;56117921300;35180386000;";Model checking for symbolic-heap separation logic with inductive predicates;2016
Didenkulova I., Pelinovsky E.;"6505843700;7004951110;";On shallow water rogue wave formation in strongly inhomogeneous channels;2016
Mikhaylovskaya A.V., Yakovtseva O.A., Cheverikin V.V., Kotov A.D., Portnoy V.K.;"36504555400;56488049000;8899278900;55356096100;7005646840;";Superplastic behaviour of Al-Mg-Zn-Zr-Sc-based alloys at high strain rates;2016
Kuzmina J., Carnoy M.;"56845838500;6701611241;";The effectiveness of vocational versus general secondary education: Evidence from the PISA 2012 for countries with early tracking;2016
Karelina I.G., Sobolev A.B., Sorokin S.O.;"57192425354;15763860500;57192433398;";Monitoring the Performance of Educational Institutions: A Spur for the Implementation of Systemic Changes in Higher Education: Part One;2016
Karelina I.G., Sobolev A.B., Sorokin S.O.;"57192425354;15763860500;57192433398;";Monitoring the Performance of Educational Institutions: A Spur for the Implementation of Systemic Changes in Higher Education: Part Two;2016
Lovakov A.;"57188984836;";Antecedents of organizational commitment among faculty: An exploratory study;2016
Tawat M.;"56017900100;";Towards an ever “closer” union? Refugee Policy and Social Cohesion in Eastern EU Member States;2016
Lajus J.;"9243817600;";Field stations on the coast of the Arctic Ocean in the European part of Russia from the first to second IPY;2016
Lajus J.;"9243817600;";Linking people through fish: Science and Barents Sea fish resources in the context of Russian-Scandinavian relations;2016
Rozanova N.M.;"57196418754;";Network competition as determinant of contemporary markets' configuration;2016
Zakharov A.V.;"7202211585;";The loyalty-competence trade-off in dictatorships and outside options for subordinates;2016
Savchenko A.V., Milov V.R.;"42962245900;6601970522;";The adaptive approach to abnormal situations recognition using images from condition monitoring systems;2016
Limonov L.E., Nesena M.V.;"6506484721;57190012468;";Structural and economic typology of large Russian cities;2016
Danilov V.G.;"7201827676;";Nonsmooth nonoscillating WKB–Maslov-type asymptotics for linear parabolic PDE;2016
Maslov V.P.;"7202893841;";Thermodynamics, idempotent analysis, and tropical geometry as a return to primitivism;2016
Karasev M.V.;"7004372754;";Contribution to the symplectic structure in the quantization rule due to noncommutativity of adiabatic parameters;2016
Olshanski G.I.;"6602706880;";Extended Gelfand–Tsetlin graph, its q-boundary, and q-B-splines;2016
Makhlin I.Y.;"56556846000;";Brion’s theorem for Gelfand–Tsetlin polytopes;2016
Lebedev P.A.;"57188758083;";Evaluation of expression templates in C++14;2016
Savchenko V.V., Savchenko A.V.;"56927771300;42962245900;";Information-theoretic analysis of efficiency of the phonetic encoding–decoding method in automatic speech recognition;2016
Pereskokov A.V.;"6602950211;";Semiclassical asymptotic approximation of the two-dimensional Hartree operator spectrum near the upper boundaries of spectral clusters;2016
Abrashkin A.A., Yakubovich E.I.;"6701859116;6603393423;";Frequency Spectrum of Exact Solutions of the Two-Dimensional Hydrodynamic Equations;2016
Vetchanin E.V., Kazakov A.O.;"55649445300;57192956902;";Bifurcations and chaos in the dynamics of two point vortices in an acoustic wave;2016
Domansky V.K., Kreps V.L.;"6602590969;6506935353;";Bidding games with several risky assets;2016
Lazarev A.A., Arkhipov D.I.;"7101908181;57045740500;";Minimization of the maximal lateness for a single machine;2016
Ichkitidze Y.R., Petryakov A.A.;"57189092272;57189096110;";Cascade model of innovative dynamics with investment flows;2016
Magun V., Rudnev M., Schmidt P.;"7801670521;55984347800;55438467100;";Within- and between-country value diversity in Europe: A typological approach;2016
Altukhov A.A., Feshchenko V.S., Shepelev V.A., Kaperko A.F., Kulagin V.P.;"6701707351;6604013299;7003566340;6507584555;56912007700;";Development of a Diamond Ultraviolet Photodetector;2016
Ruderman M.S., Petrukhin N.S., Pelinovsky E.;"7006487390;6603394745;7004951110;";On the Ratio of Periods of the Fundamental Harmonic and First Overtone of Magnetic Tube Kink Oscillations;2016
Belomestny D., Krätschmer V.;"15069577900;55994183000;";Optimal stopping under model uncertainty: Randomized stopping times approach;2016
Robinson O.C., Dunn A., Nartova-Bochaver S., Bochaver K., Asadi S., Khosravi Z., Jafari S.M., Zhang X., Yang Y.;"35574568700;57188859244;6508023786;43561072700;56890823600;36918489900;56946356200;56890292000;57188848968;";Figures of Admiration in Emerging Adulthood: A Four-Country Study;2016
Korneeva Y., Sidorova M., Semenov A., Krasnosvobodtsev S., Mitsen K., Korneev A., Chulkova G., Goltsman G.;"36617215400;56878620300;56879243200;57208121544;7004733555;7006297830;6701631046;7006771637;";Comparison of Hot-Spot Formation in NbC and NbN Single-Photon Detectors;2016
Picker G.;"55065036900;";‘That neighbourhood is an ethnic bomb!’ The emergence of an urban governance apparatus in Western Europe;2016
Arbatli C.E., Arbatli E.;"57188733326;55861127200;";External threats and political survival: Can dispute involvement deter coup attempts?;2016
Lipovetsky M., Kukulin I.;"26033407000;36571921100;";"""the Art of Penultimate Truth"": Dmitrii Prigov's Aesthetic Principles";2016
Khitrov A.;"57188694762;";Representations of the Police in Contemporary Russian Police TV Series: The Case of Glukhar;2016
Stites M., Pianykh O.S.;"57188695427;6603235403;";How secure is your radiology department? Mapping digital radiology adoption and security worldwide;2016
Kovalev A.V.;"56412447300;";Misuse of thermodynamic entropy in economics;2016
Minkov M., Welzel C., Bond M.H.;"23991186000;6602585494;7202608757;";The impact of genes, geography, and educational opportunities on national cognitive achievement;2016
Fernández-Jardón C.M., Martos M.S.;"6506804139;35223835400;";Intellectual capital and competitive advantages in natural resource-based SMEs in Latin America [Le capital intellectuel et les avantages concurrentiels dans les PME basées sur les ressources naturelles en Amérique Latine] [Capital intelectual e vantangens competitivas em PME s baseadas em recursos naturais da América latina] [Capital intelectual y ventajas competitivas en pymes basadas en recursos naturales de Latinoamérica];2016
Bufetov A.I.;"7801312296;";Rigidity of determinantal point processes with the Airy, the Bessel and the Gamma kernel;2016
V’yugin V.V.;"6603739642;";On Stability of Probability Laws with Respect to Small Violations of Algorithmic Randomness;2016
Vereshchagin N.;"7005187259;";Algorithmic Minimal Sufficient Statistics: a New Approach;2016
Krasnopolskaya I., Roza L., Meijs L.C.P.M.;"56637030400;56653295400;22980618400;";The Relationship Between Corporate Volunteering and Employee Civic Engagement Outside the Workplace in Russia;2016
Bauwens B.;"26427988700;";Relating and Contrasting Plain and Prefix Kolmogorov Complexity;2016
Kabanov Y., Pergamenshchikov S.;"7003276566;6602794670;";In the insurance business risky investments are dangerous: the case of negative risk sums;2016
Protasov V.Y.;"7005728944;";Linear switching systems with slow growth of trajectories;2016
Reuter O.J., Buckley N., Shubenkova A., Garifullina G.;"26321920500;56017839700;56017504300;56016598900;";Local Elections in Authoritarian Regimes: An Elite-Based Theory With Evidence From Russian Mayoral Elections;2016
Prakhov I.;"56955534600;";The Barriers of Access to Selective Universities in Russia;2016
Kossova T., Sheluntcova M.;"56427019300;56426952400;";"""Evaluating performance of public sector projects in Russia: The choice of a social discount rate""";2016
Kelbert M., Konakov V., Menozzi S.;"55884702600;7003450051;7801636137;";Weak error for Continuous Time Markov Chains related to fractional in time P(I)DEs;2016
Peroni C., Riillo C.A.F., Sarracino F.;"35108044500;55644811200;35225215100;";Entrepreneurship and immigration: evidence from GEM Luxembourg;2016
Andrievskaya I., Semenova M.;"56893670600;24823591100;";Does banking system transparency enhance bank competition? Cross-country evidence;2016
Kagan M.Y., Mitskan V.A., Korovushkin M.M.;"7102277369;12760285700;18436867200;";High-T c and Low-T c Superconductivity in Electron Systems with Repulsion;2016
Riès S.K., Dronkers N.F., Knight R.T.;"36021907300;6603880631;57206471338;";Choosing words: Left hemisphere, right hemisphere, or both? Perspective on the lateralization of word retrieval;2016
Wang K.T., Permyakova T.M., Sheveleva M.S.;"13408399000;56548692800;56005602100;";Assessing perfectionism in Russia: Classifying perfectionists with the Short Almost Perfect Scale;2016
Feigin B., Tsymbaliuk A.;"7006562936;35119714200;";Bethe subalgebras of Uq(gln) via shuffle algebras;2016
Bowen L., Bufetov A., Romaskevich O.;"7007161236;7801312296;56403417100;";Mean convergence of Markovian spherical averages for measure-preserving actions of the free group;2016
Kogan K., Nikolenko S.I., Rottenstreich O., Culhane W., Eugster P.;"8219662100;13608710100;24328397000;55447471700;16303930200;";Exploiting Order Independence for Scalable and Expressive Packet Classification;2016
Mannhardt F., de Leoni M., Reijers H.A., van der Aalst W.M.P.;"56007915000;22937181700;6603060277;7007153024;";Balanced multi-perspective checking of process conformance;2016
Avtonomova N.S., Artemyeva T.V., Pruzhinin B.I., Kantor V.K., Mikhaylov I.A., Porus V.N., Razumovskiy I.S., Ryskeldiyeva L.T., Smirnov A.V., Shchedrina T.G., Yantsen W.W., Pasternak E.V.;"56803776100;57193035500;37096156600;37095241800;57195837527;52964543700;57195837362;57195836089;56524873000;57193112084;57195838662;57195835702;";Methodological problems in the publication of philosophical texts. Materials of the Conference - Round Table;2016
Pain E.;"26868038700;";The imperial syndrome and its influence on Russian nationalism;2016
Titov I., Glotov A., Andrey Y., Petrov V.;"55099769100;55099686100;57189250688;57189249001;";Labicom labs: Remote and virtual solid-state laser lab, RF & microwave amplifier remote and virtual lab: Interactive demonstration of Labicom labs in winter 2016;2016
Elistratov A.A., Lozovik Yu.E.;"6701511777;16421007700;";Coupled exciton-photon Bose condensate in path integral formalism;2016
Kirillov A.N.;"7102545350;";Notes on schubert, grothendieck and key polynomials;2016
Danilova I., Shkolnikov V.M., Jdanov D.A., Meslé F., Vallin J.;"57188698964;7003725149;6603650992;6701683340;7005940807;";Identifying potential differences in cause-of-death coding practices across Russian regions;2016
Tikhonova N.E.;"7006789882;";The Russian roller coaster: Changes in social structure in the post-communist period;2016
Grigoryev L.;"28067845800;";Transformation: For the people or for the elite?;2016
Fyodorov V.;"57190190476;";New Russia: The evolution of Russian public opinion, 1989-2014;2016
Kogan K., Menikkumbura D., Petri G., Noh Y., Nikolenko S., Eugster P.;"8219662100;57189500949;26667911700;36105411600;13608710100;16303930200;";BASEL (Buffer mAnagement SpEcification Language);2016
Larionova M.;"56153880200;";Preface;2016
Larionova M., Rakhmangulov M.;"56153880200;56153497100;";The European Union and the G8: Priorities, functions, values;2016
Larionova M.;"56153880200;";The European Union as a global player: Creating Global Public Goods through partnerships and multilateral institutions;2016
Medvedev S., Tomashov I.;"56154171400;56153615200;";The concept and definition of Global Public Goods;2016
Medvedev S., Tomashov I.;"56154171400;56153615200;";Knowledge and education as global public goods;2016
Larionova M., Renard T.;"56153880200;36170025900;";The European Union in the G20;2016
Zuev V.;"56153933700;";The European Union as a model for global governance;2016
Larionova M.;"56153880200;";The European Union in the G8: Promoting consensus and concerted actions for global public goods;2016
Medvedev S., Tomashov I.;"56154171400;56153615200;";Security as a global public good: Common issues for the European Union and the G8;2016
Brilliantov N.V., Budkov Yu.A., Seidel C.;"7003803537;46861146000;7103092567;";Generation of mechanical force by grafted polyelectrolytes in an electric field;2016
Romanova T.;"24779959300;";Russian Challenge to the EU’s Normative Power: Change and Continuity;2016
Gasparyan D.;"24176741200;";Not to avoid but legitimize: Why the gap could be natural for the enactive world;2016
Bogataya S.I., Bogatyi S.A., Kiselev D.D.;"36977936600;6602342145;55538373900;";Powers of elements of the series substitution group J(Z2);2016
Golubin A.Y.;"55885947500;";Optimal insurance and reinsurance policies chosen jointly in the individual risk model;2016
Naidenova I., Parshakov P., Chmykhov A.;"55881002000;55881045400;57188537791;";Does football sponsorship improve company performance?;2016
Di Puppo L.;"16030322100;";Marketing reforms: The dimension of narratives in Georgia's fight against corruption;2016
Ahmadi M., Ulyanov D., Semenov S., Trofimov M., Giacinto G.;"35279462300;56585980900;57225322454;57022246400;6701832237;";Novel feature extraction, selection and fusion for effective malware family classification;2016
Altaisky M.V., Zolnikova N.N., Kaputkina N.E., Krylov V.A., Lozovik Y.E., Dattani N.S.;"6603575806;23991920200;6603617425;55620579300;16421007700;57212884608;";Towards a feasible implementation of quantum neural networks using quantum dots;2016
Gordin V., Trabskaya J., Zelenskaya E.;"55903521700;55904574600;57151276000;";The role of hotel restaurants in gastronomic place branding;2016
Larionova M.V., Rakhmangulov M., Shelepov A.;"56153880200;56153497100;56893481400;";Assessing G7/8 and G20 effectiveness in global governance;2016
Larionova M.V., Kirton J.J.;"56153880200;6701350356;";The G8-G20 relationship in global governance;2016
Larionova M.V., Sakharov A.;"56153880200;56956456800;";Mapping G7/8 and G20 accountability;2016
Kirton J.J., Larionova M.V.;"6701350356;56153880200;";Introduction;2016
Gilman M.;"56956604100;";A world without G20 summits;2016
Larionova M.V., Rakhmangulov M., Sakharov A., Shelepov A.;"56153880200;56153497100;56956456800;56893481400;";B20-G20 Engagement: Achievements and challenges;2016
Larionova M.V., Rakhmangulov M., Sakharov A., Shelepov A., Nagornov V.;"56153880200;56153497100;56956456800;56893481400;56956995200;";Global Risk Governance and G20, G8, and BRICS Capabilities;2016
Kynev A.;"57192079220;";Combating the opposition: United Russia's electoral and party reforms 2012-13;2016
Smyth R., Soboleva I., Shimek L., Sobolev A.;"23010804700;55802743000;56060635100;55802665000;";Defining common ground: Collective identity in Russia's post-election protests and rallies;2016
Turovsky R.;"55588390100;";The Systemic opposition in authoritarian regimes: A case study of Russian regions;2016
Pavlenko E.S.;"57192821374;";“Adult” as a Concept for Young People Building their Life Course;2016
Semenova T.V., Rudakova L.M.;"57014698400;57192818404;";Barriers to Taking Massive Open Online Courses (MOOCs);2016
Abramov R.N., Gruzdev I.A., Terentyev E.A.;"8250219800;56147446200;57188866467;";Academic Professionalism in the Era of Change: Role Subidentities and Transformation of Time Budgets;2016
Porus V.N.;"52964543700;";A superfluous man;2016
Krickovic A., Bratersky M.;"56124489900;57190375307;";Benevolent hegemon, neighborhood bully, or regional security provider? Russia’s efforts to promote regional integration after the 2013–2014 Ukraine crisis;2016
Remington T.F.;"7004041812;";Regional Variation in Business-Government Relations in Russia and China;2016
Gurkov I.;"6603320551;";Against the wind – new factories of Russian manufacturing subsidiaries of Western multinational corporations;2016
Akhmedov E.T., Kalinov D.A., Popov F.K.;"10038930900;56938822400;55817351600;";Method for distinguishing very compact stellar objects from black holes;2016
Khavenson T., Carnoy M.;"53984321400;6701611241;";The unintended and intended academic consequences of educational reforms: the cases of Post-Soviet Estonia, Latvia and Russia;2016
Melville A., Mironyuk M.;"55627396800;55626488900;";Bad enough governance: State capacity and quality of institutions in post-Soviet autocracies;2016
Radina N.K.;"6505769104;";A provincial Russian town: Images for insiders and outsiders;2016
Kuleshov A.E., Bernstein A., Agalakov Y.;"25621485600;55926029700;57189353980;";Data-based statistical models of data networks;2016
Bernstein A., Kuleshov A., Yanovich Y.;"55926029700;25621485600;57003326000;";Statistical learning via manifold learning;2016
Kondrahova E.V.;"55933499600;";Optimization of Multichannel Queueing Models;2016
Komarov M., Avdeeva Z.;"6603888073;26647340000;";Customer Experience Management for Smart Commerce Based on Cognitive Maps;2016
Romodina I., Silin M.;"57219346119;57220224456;";Perspectives of introduction sustainable procurement in public procurement in Russia;2016
Popkov Y.S., Dubnov Y.A., Popkov A.Y.;"7006921474;57189456364;56254217100;";New method of randomized forecasting using entropy-robust estimation: Application to the world population prediction;2016
Nikitin A.I.;"42462188600;";United Nations Peace Operations: Reconsidering the principles, reforming the practice;2016
Nisnevich Y.A.;"56653423900;";Fighting corruption: The Slovenian phenomenon;2016
Petrushchenko V., Timorin V.;"56878996400;6507568071;";On Maps Taking Lines to Plane Curves;2016
Sizova I.L.;"56195417000;";Socio-cultural factors of escalation of violence in Russian school;2016
Karaganov S.A., Cherniavskaia K.I., Novikov D.P.;"26025142400;57191093401;57208276075;";Russian foreign policy risky successes;2016
Baysha O.;"36986930800;";On progressive identity and internal colonization: A case study from Russia;2016
Molotkov S.N., Potapova T.A.;"7005147387;7005641777;";Faint laser pulses versus a single-photon source in free space quantum cryptography;2016
Akelev E.V., Wilson L.;"57189686193;57189689504;";The barber of all Russia: Lawmaking, resistance, and mutual adaptation during Peter the great's cultural reforms;2016
Kalmynin A.B.;"57189372991;";On the first moment of the Gauss sum;2016
Maslov V.P.;"7202893841;";On the role of the gravity of Earth in a quasistatic process;2016
Rybakov S.Y.;"12785484200;";Classification of zeta functions of bielliptic surfaces over finite fields;2016
Maslov V.P., Nazaikinskii V.E.;"7202893841;6603871274;";Remark on the notion of optimal data compression in information theory;2016
Andreev D.V., Bondarenko G.G., Stolyarov A.A.;"56500115200;7103344120;7005527969;";Modification of MIS structures by electron irradiation and high-field electron injection;2016
Andreev D.V., Bondarenko G.G., Stolyarov A.A.;"56500115200;7103344120;7005527969;";Charge characteristics of MOS structure with thermal SiO2 films doped with phosphorus under high-field electron injection;2016
Kol’tsov S.N., Gall L.N., Gall N.R.;"55803521900;7003778666;13309639500;";Applicability of the particle-in-cell method for the through calculation of jet flows in a wide interval of gas Pressures;2016
Bondarenko N.S., Murtazina A.R., Dil’mukhametova L.K., Ikonopistseva M.A., Volina E.V., Ugrumov M.V.;"56622467900;57188881130;24597438400;57189345262;7003385752;55684228700;";Secretory activity of the brain and peripheral organs: Spontaneous and stimulated release of noradrenaline in the ontogenesis of rats;2016
Lukinskiy V., Dobromirov V.;"56151945100;55817390800;";Methods of Evaluating Transportation and Logistics Operations in Supply Chains;2016
Shakhuro V.I., Konushin A.S.;"57189263484;6506829728;";Russian traffic sign images dataset;2016
Antipov E.A., Pokryshevskaya E.B.;"57205771990;57216425890;";Rank-sales relationship in electronic commerce: Evidence from publicly available data on 11 product categories;2016
Fedyukin I.;"6504720097;";Nobility and schooling in Russia, 1700s-1760s: Choices in a social context;2016
Grines V.Z., Malyshev D.S., Pochinka O.V., Zinina S.K.;"55978243000;25522390800;6507516545;57188837050;";Efficient algorithms for the recognition of topologically conjugate gradient-like diffeomorhisms;2016
Kozintseva E., Skvortsov A.;"55266444100;21735514900;";Variability of writing disorders in Wernicke's aphasia underperforming different writing tasks: A single-case study;2016
Savchenko A.V.;"42962245900;";The maximal likelihood enumeration method for the problem of classifying piecewise regular objects;2016
Vos T., Kyu H.H., Pinho C., Wagner J.A., Brown J.C., Bertozzi-Villa A., Charlson F.J., Coffeng L.E., Dandona L., Erskine H.E., Ferrari A.J., Fitzmaurice C., Fleming T.D., Forouzanfar M.H., Graetz N., Guinovart C., Haagsma J., Higashi H., Kassebaum N.J., Larson H.J., Lim S.S., Mokdad A.H., Moradi-Lakeh M., Odell S.V., Roth G.A., Serina P.T., Stanaway J.D., Misganaw A., Whiteford H.A., Wolock T.M., Hanson S.W., Abd-Allah F., Abera S.F., Abu-Raddad L.J., Al Buhairan F.S., Amare A.T., Antonio C.A.T., Artaman A., Barker-Collo S.L., Barrero L.H., Benjet C., Bensenor I.M., Bhutta Z.A., Bikbov B., Brazinova A., Campos-Nonato I., Castañeda-Orjuela C.A., Catalá-López F., Chowdhury R., Cooper C., Crump J.A., Dandona R., Degenhardt L., Dellavalle R.P., Dharmaratne S.D., Faraon E.J.A., Feigin V.L., Fürst T., Geleijnse J.M., Gessner B.D., Gibney K.B., Goto A., Gunnell D., Hankey G.J., Hay R.J., Hornberger J.C., Hosgood H.D., Hu G., Jacobsen K.H., Jayaraman S.P., Jeemon P., Jonas J.B., Karch A., Kim D., Kim S., Kokubo Y., Defo B.K., Bicer B.K., Kumar G.A., Larsson A., Leasher J.L., Leung R., Li Y., Lipshultz S.E., Lopez A.D., Lotufo P.A., Lunevicius R., Lyons R.A., Majdan M., Malekzadeh R., Mashal T., Mason-Jones A.J., Melaku Y.A., Memish Z.A., Mendoza W., Miller T.R., Mock C.N., Murray J., Nolte S., Oh I.-H., Olusanya B.O., Ortblad K.F., Park E.-K., Caicedo A.J.P., Patten S.B., Patton G.C., Pereira D.M., Perico N., Piel F.B., Polinder S., Popova S., Pourmalek F., Quistberg D.A., Remuzzi G., Rodriguez A., Rojas-Rueda D., Rothenbacher D., Rothstein D.H., Sanabria J., Santos I.S., Schwebel D.C., Sepanlou S.G., Shaheen A., Shiri R., Shiue I., Skirbekk V., Sliwa K., Sreeramareddy C.T., Stein D.J., Steiner T.J., Stovner L.J., Sykes B.L., Tabb K.M., Terkawi A.S., Thomson A.J., Thorne-Lyman A.L., Towbin J.A., Ukwaja K.N., Vasankari T., Venketasubramanian N., Vlassov V.V., Vollset S.E., Weiderpass E., Weintraub R.G., Werdecker A., Wilkinson J.D., Woldeyohannes S.M., Wolfe C.D.A., Yano Y., Yip P., Yonemoto N., Yoon S.-J., Younis M.Z., Yu C., El Sayed Zaki M., Naghavi M., Murray C.J.L.;"57223885848;57217040073;57212482983;56990441500;57212760159;57192900191;57191632086;15847631700;7007017243;57202798676;57195348907;57212628757;57222727747;55882758900;56276346000;23024511900;57202571125;57190802917;55522621100;57202559142;7404081544;7004813962;35617421300;57163160600;55074747400;57217111199;57201210928;57202808713;55906494000;57210784314;57212263269;36503428900;57205180598;14032724700;55403303800;57202220009;55247644500;57217223811;57193065514;57208560675;57211220427;7004830338;24342648300;57219957158;57216996405;57203424784;35769124700;57202553733;57216138475;36041345700;57202595111;57203043697;7004040033;7003806771;8269895600;57195414019;57203677957;57208431345;35195702500;7005779769;57202564104;36339255500;7006194937;7102816661;56785229200;56825487700;56353204400;55347352600;26029163100;57204716526;57216324831;7202492953;55917217700;57223019104;57218664381;56155004000;6602271655;57204528360;57139550500;36818888800;57197789738;56276497100;57215143041;7006950713;7401455668;7003331101;57216165063;55259733900;36147855100;7005197760;57203849054;7201563263;57203122720;7005059350;57216905642;7403948600;7005790549;35353870600;24073274400;57204090669;35613148200;57190076688;57216814178;56926913900;57201492915;7102184358;57200690024;56481931200;56866735900;12766122200;56848085800;8309390500;6507023057;56466188600;57221078374;57203642966;7004765162;14120198000;7006262917;57198312911;6603681532;36248136000;57202560956;57200737050;35811219800;57202564482;57207223988;57212263335;55769747595;16837503200;57201788390;57211183396;51162023700;57211144258;57203977246;57194437700;7102520568;57202824584;57189653936;56804702100;57211633239;57196315778;57205018947;7006079405;57208964895;57207903571;57195461619;57202754705;57196965200;7102503720;57204947657;24823148900;8549393000;57201889726;57203666922;9246620100;55481130700;";Global and national burden of diseases and injuries among children and adolescents between 1990 and 2013 findings from the global burden of disease 2013 study;2016
Tyutnev A.P., Nikerov A.V., Smirnov D.D., Tumkovskii S.R.;"7005402871;56086268700;57188696299;57188702665;";Universality of charge-carrier transport in molecularly doped polymers;2016
Veselova Y.A.;"56928340700;";Computational complexity of manipulation: A survey;2016
Korneyev I.A., Alexeeva T.A., Al-Shukri S.H., Bernikov A.N., Erkovich A.A., Kamalov A.A., Kogan M.I., Pavlov V.N., Zhuravlev V.N., Pushkar D.Y.;"6506000592;56698876700;6601962854;6506822987;55609354700;6701554743;7102617447;8391101300;23767444000;6603700507;";Prevalence and risk factors for erectile dysfunction and lower urinary tract symptoms in Russian Federation men: Analysis from a national population-based multicenter study;2016
Nikitina T., Haug D.T.T.;"25521992300;6506730590;";Syntactic nominalization in Latin: A case of non-canonical subject agreement;2016
Moulin H.;"7004297002;";Entropy, desegregation, and proportional rationing;2016
Zakharenko R.;"54793839200;";Nothing else matters: Evolution of preference for social prestige;2016
Churkov V.M.;"56295239300;";Space simulation wireless broadband network in electromagnetic interference, and obstructions;2016
Aminev D.A., Azizov R.F., Kudryavtsev D.Y.;"56818934800;57159847300;57159384100;";Relative navigation for node of wireless decentralized network;2016
Veretennikov A., Zverkina G.;"7003845665;57160382800;";On polynomial bounds of convergence for the availability factor;2016
Choi S.;"56464445600;";How does job mobility affect inequality? Evidence from the south korean economic crisis;2016
Lukiyanova A., Vishnevskaya N.;"36458620700;57147896400;";Decentralisation of the minimum wage setting in Russia: Causes and consequences;2016
Marques I., II, Nazrullaeva E., Yakovlev A.;"57143976400;57144496400;57220732255;";Substituting Distribution for Growth: The Political Logic of Intergovernmental Transfers in the Russian Federation;2016
Abramov R.;"8250219800;";Understanding Professionalism in the Soviet Union and Post-Soviet Russia: an Analytical Review;2016
Takebe T.;"7005898546;";Q-Operators for Higher Spin Eight Vertex Models with an Even Number of Sites;2016
Arutyunov K.Y., Lehtinen J.S., Rantala T.;"6603572972;55099794000;7006231538;";The Quantum Phase Slip Phenomenon in Superconducting Nanowires with High-Impedance Environment;2016
